s10
c1234
4680
4681,1,,,
4682,2,,,
4683,12,,,
4684,3,,,
4685,13,,,
4686,23,,,
4687,123,,,
4696,,1,,
4697,1,1,,
4698,2,1,,
4699,12,1,,
4700,3,1,,
4701,13,1,,
4702,23,1,,
4703,123,1,,
4712,,2,,
4713,1,2,,
4714,2,2,,
4715,12,2,,
4716,3,2,,
4717,13,2,,
4718,23,2,,
4719,123,2,,
4728,,12,,
4729,1,12,,
4730,2,12,,
4731,12,12,,
4732,3,12,,
4733,13,12,,
4734,23,12,,
4735,123,12,,
4740
4741,1,,,
4742,2,,,
4743,12,,,
4748,4,,,
4749,14,,,
4750,24,,,
4751,124,,,
4756,,1,,
4757,1,1,,
4758,2,1,,
4759,12,1,,
4764,4,1,,
4765,14,1,,
4766,24,1,,
4767,124,1,,
4772,,2,,
4773,1,2,,
4774,2,2,,
4775,12,2,,
4780,4,2,,
4781,14,2,,
4782,24,2,,
4783,124,2,,
4788,,12,,
4789,1,12,,
4790,2,12,,
4791,12,12,,
4796,4,12,,
4797,14,12,,
4798,24,12,,
4799,124,12,,
4804,,3,,
4805,1,3,,
4806,2,3,,
4807,12,3,,
4808,,4,,
4809,1,4,,
4810,2,4,,
4811,12,4,,
4812
4813,1,,,
4814,2,,,
4815,12,,,
4820,,13,,
4821,1,13,,
4822,2,13,,
4823,12,13,,
4824,,14,,
4825,1,14,,
4826,2,14,,
4827,12,14,,
4828,,1,,
4829,1,1,,
4830,2,1,,
4831,12,1,,
4836,,23,,
4837,1,23,,
4838,2,23,,
4839,12,23,,
4840,,24,,
4841,1,24,,
4842,2,24,,
4843,12,24,,
4844,,2,,
4845,1,2,,
4846,2,2,,
4847,12,2,,
4852,,123,,
4853,1,123,,
4854,2,123,,
4855,12,123,,
4856,,124,,
4857,1,124,,
4858,2,124,,
4859,12,124,,
4860,,12,,
4861,1,12,,
4862,2,12,,
4863,12,12,,
4936,,,1,
4937,1,,1,
4938,2,,1,
4939,12,,1,
4940,3,,1,
4941,13,,1,
4942,23,,1,
4943,123,,1,
4952,,1,1,
4953,1,1,1,
4954,2,1,1,
4955,12,1,1,
4956,3,1,1,
4957,13,1,1,
4958,23,1,1,
4959,123,1,1,
4968,,2,1,
4969,1,2,1,
4970,2,2,1,
4971,12,2,1,
4972,3,2,1,
4973,13,2,1,
4974,23,2,1,
4975,123,2,1,
4984,,12,1,
4985,1,12,1,
4986,2,12,1,
4987,12,12,1,
4988,3,12,1,
4989,13,12,1,
4990,23,12,1,
4991,123,12,1,
4996,,,1,
4997,1,,1,
4998,2,,1,
4999,12,,1,
5004,4,,1,
5005,14,,1,
5006,24,,1,
5007,124,,1,
5012,,1,1,
5013,1,1,1,
5014,2,1,1,
5015,12,1,1,
5020,4,1,1,
5021,14,1,1,
5022,24,1,1,
5023,124,1,1,
5028,,2,1,
5029,1,2,1,
5030,2,2,1,
5031,12,2,1,
5036,4,2,1,
5037,14,2,1,
5038,24,2,1,
5039,124,2,1,
5044,,12,1,
5045,1,12,1,
5046,2,12,1,
5047,12,12,1,
5052,4,12,1,
5053,14,12,1,
5054,24,12,1,
5055,124,12,1,
5060,,3,1,
